DATE,STATION_NAME,NB_VALID,DEPARTEMENT
2019-07-01,ABBESSES,3399,75
2019-07-01,ABLON,977,91
2019-07-01,ACHERES-GRAND-CORMIER,86,78
2019-07-01,ACHERES-VILLE,5079,78
2019-07-01,AEROPORT CHARLES DE GAULLE 1,7019,93
2019-07-01,AEROPORT CHARLES DE GAULLE 2-TGV,9104,93
2019-07-01,ALESIA,11480,75
2019-07-01,ALEXANDRE DUMAS,8288,75
2019-07-01,ALLEE DE LA TOUR RENDEZ-VOUS,10,93
2019-07-01,ALMA-MARCEAU,9007,75
2019-07-01,ANATOLE FRANCE,10341,92
2019-07-01,ANDRESY,477,78
2019-07-01,ANGERVILLE,200,91
2019-07-01,ANVERS,9262,75
2019-07-01,ARGENTEUIL,14838,95
2019-07-01,ARGENTINE,7723,75
2019-07-01,ARPAJON,1374,91
2019-07-01,ARTS ET METIERS,8868,75
2019-07-01,ASNIERES,7073,92
2019-07-01,ASSEMBLEE NATIONALE,2725,75
2019-07-01,ATHIS-MONS,1598,91
2019-07-01,AUBERGENVILLE-ELISABETHVILLE,1742,95
2019-07-01,AUBERVILLIERS-PANTIN (QUATRE CHEMINS),17623,93
2019-07-01,AULNAY-SOUS-BOIS,18092,93
2019-07-01,AUSTERLITZ,24268,75
2019-07-01,AUVERS-SUR-OISE,70,95
2019-07-01,AVENUE DU PRESIDENT KENNEDY,2596,75
2019-07-01,AVENUE EMILE ZOLA,4405,75
2019-07-01,AVENUE FOCH,1493,75
2019-07-01,AVENUE HENRI MARTIN,1362,75
2019-07-01,AVRON,4574,75
2019-07-01,BAGNEUX-SUR-LOING,81,77
2019-07-01,BALARD,18323,75
2019-07-01,BALLANCOURT,426,91
2019-07-01,BARBES-ROCHECHOUART,19578,75
2019-07-01,BASILIQUE DE SAINT-DENIS,10526,93
2019-07-01,BASTILLE,27527,75
2019-07-01,BECON-LES-BRUYERES,8509,92
2019-07-01,BEL-AIR,6368,75
2019-07-01,BELLEVILLE,24190,75
2019-07-01,BELLEVUE,779,92
2019-07-01,BELLOY-SAINT-MARTIN,148,95
2019-07-01,BERAULT,7502,93
2019-07-01,BERCY,14099,75
2019-07-01,BESSANCOURT,709,95
2019-07-01,BEYNES,176,78
2019-07-01,BIBLIOTHEQUE FRANCOIS MITTERRAND,35707,75
2019-07-01,BIEVRES,511,91
2019-07-01,BILLANCOURT,8812,92
2019-07-01,BIR-HAKEIM (GRENELLE),4043,75
2019-07-01,BLANC-MESNIL,4385,93
2019-07-01,BLANCHE,6325,75
2019-07-01,BOBIGNY-PABLO PICASSO,20910,93
2019-07-01,BOBIGNY-PANTIN (RAYMOND QUENEAU),8224,93
2019-07-01,BOIGNEVILLE,42,91
2019-07-01,BOIS-COLOMBES,6270,92
2019-07-01,BOIS-LE-ROI,972,77
2019-07-01,BOISSIERE,3449,75
2019-07-01,BOISSISE-LE-ROI,127,77
2019-07-01,BOISSY-L'AILLERIE,195,95
2019-07-01,BOLIVAR,1443,75
2019-07-01,BONDY,6982,93
2019-07-01,BONNE NOUVELLE,11712,75
2019-07-01,BONNIERES,472,78
2019-07-01,BOTZARIS,2579,75
2019-07-01,BOUCICAUT,8059,75
2019-07-01,BOUFFEMONT-MOISSELLES,772,95
2019-07-01,BOUGIVAL,676,78
2019-07-01,BOULAINVILLIERS,1936,75
2019-07-01,BOULEVARD VICTOR,3703,75
2019-07-01,BOULOGNE-JEAN JAURES,9990,92
