JOUR,Pluie_mm,Pluie_Heures,Humidité,Vent,Visibilité,Température
2019-07-01,0.0,0,58.0,3.46,19998.21,20.38
2019-07-02,0.0,0,53.54,3.65,19978.62,20.66
2019-07-03,0.0,0,50.71,4.3,19990.29,20.9
2019-07-04,0.0,0,46.08,3.42,19977.25,21.97
2019-07-05,0.0,0,40.29,2.13,19917.83,24.94
2019-07-06,0.0,0,44.17,2.5,19990.25,25.75
2019-07-07,0.0,0,57.92,3.05,19988.58,21.76
2019-07-08,0.0,0,47.88,4.25,20000.0,19.8
2019-07-09,0.0,0,45.12,3.97,20000.0,19.9
2019-07-10,0.0,0,44.83,1.7,19955.92,22.41
2019-07-11,0.0,0,50.0,2.02,19934.29,24.21
2019-07-12,0.0,0,56.21,3.65,20000.0,21.92
2019-07-13,0.0,0,59.29,3.51,19879.54,21.33
2019-07-14,0.0,0,63.79,4.68,19997.04,18.23
2019-07-15,0.0,0,59.29,3.54,19987.83,19.05
2019-07-16,0.0,0,52.21,2.24,19911.04,20.46
2019-07-17,0.0,0,44.58,2.21,19894.88,23.0
2019-07-18,0.6,1,58.79,3.0,19196.08,21.35
2019-07-19,0.0,0,60.5,2.05,19959.12,23.01
2019-07-20,5.5,1,63.21,3.16,19772.67,22.97
2019-07-21,0.0,0,57.83,2.22,19993.67,22.28
2019-07-22,0.0,0,47.38,1.52,20000.0,25.64
2019-07-23,0.0,0,36.58,2.15,20000.0,29.73
2019-07-24,0.0,0,35.75,1.81,19899.75,31.5
2019-07-25,0.0,0,33.75,2.43,19875.08,33.93
2019-07-26,5.6,3,60.58,3.95,19384.88,25.38
2019-07-27,8.0,7,76.75,4.14,18355.54,19.11
2019-07-28,0.0,0,61.12,3.21,19784.42,19.97
2019-07-29,0.0,0,47.75,2.3,19922.5,22.82
2019-07-30,0.0,0,58.08,4.43,19964.54,20.99
2019-07-31,0.0,0,56.54,2.85,20000.0,19.88
2019-08-01,0.0,0,52.62,1.98,19857.04,22.15
2019-08-02,0.0,0,51.12,3.04,20000.0,22.49
2019-08-03,0.0,0,62.54,2.54,19720.5,21.05
2019-08-04,0.0,0,51.04,1.84,20000.0,24.25
2019-08-05,0.0,0,57.71,2.98,19962.5,23.28
2019-08-06,19.3,4,78.67,2.22,18688.21,20.51
2019-08-07,0.0,0,65.38,2.4,20000.0,21.38
2019-08-08,0.0,0,58.71,2.05,20000.0,23.62
2019-08-09,31.3,7,77.54,2.86,19114.33,22.12
2019-08-10,0.0,0,56.04,5.23,20000.0,21.49
2019-08-11,0.0,0,64.79,2.64,20000.0,18.47
2019-08-12,5.9,3,71.21,2.67,19235.75,17.17
2019-08-13,0.0,0,66.58,2.45,19984.75,16.75
2019-08-14,0.0,0,64.71,3.15,19810.17,19.52
2019-08-15,0.0,0,66.92,3.7,19582.67,19.82
2019-08-16,0.0,0,64.12,2.77,19956.08,19.87
2019-08-17,13.1,15,87.88,2.88,15633.21,18.91
2019-08-18,3.6,5,79.04,2.86,18300.75,19.5
2019-08-19,0.0,0,59.12,2.48,20000.0,18.79
2019-08-20,0.0,0,57.33,2.27,20000.0,18.9
2019-08-21,0.0,0,56.29,1.9,20000.0,19.03
2019-08-22,0.0,0,54.29,2.1,19865.75,20.39
2019-08-23,0.0,0,52.17,2.25,20000.0,22.24
2019-08-24,0.0,0,51.88,1.64,19725.33,23.94
2019-08-25,0.0,0,49.54,1.35,19996.25,25.52
2019-08-26,0.0,0,46.21,1.55,19802.58,26.28
2019-08-27,0.0,0,51.96,1.89,19585.46,25.85
2019-08-28,0.0,0,63.42,2.62,19471.83,23.9
2019-08-29,0.0,0,62.08,2.42,19795.67,20.71
2019-08-30,0.0,0,49.71,1.88,20000.0,21.02
2019-08-31,0.0,0,50.12,3.21,19971.38,22.99
2019-09-01,0.0,0,57.5,3.18,20000.0,18.58
2019-09-02,0.0,0,54.75,2.23,19745.08,17.81
2019-09-03,0.0,0,59.12,1.94,20000.0,18.35
2019-09-04,0.0,0,63.0,3.03,20000.0,17.89
2019-09-05,0.0,0,62.5,3.28,19615.67,15.32
2019-09-06,0.0,0,56.58,2.26,20000.0,15.88
2019-09-07,0.0,0,67.79,3.65,20000.0,16.06
2019-09-08,0.0,0,64.17,3.26,20000.0,14.46
2019-09-09,0.0,0,61.79,2.08,19869.33,14.79
2019-09-10,0.0,0,53.33,2.34,20000.0,17.12
2019-09-11,0.0,0,60.46,2.39,20000.0,18.82
2019-09-12,0.0,0,74.04,2.16,19660.96,20.29
2019-09-13,0.0,0,75.96,2.15,19951.58,19.34
2019-09-14,0.0,0,67.21,2.66,19604.21,19.74
2019-09-15,0.0,0,55.5,1.92,19981.92,20.71
2019-09-16,0.0,0,61.5,2.48,20000.0,20.24
2019-09-17,0.0,0,68.12,3.58,17424.58,18.47
2019-09-18,0.0,0,54.08,4.52,20000.0,15.08
2019-09-19,0.0,0,55.33,4.27,19876.04,15.05
2019-09-20,0.0,0,38.54,3.7,19950.75,16.89
2019-09-21,0.0,0,49.62,2.45,19581.0,19.86
2019-09-22,8.1,6,80.67,3.1,18369.08,17.85
2019-09-23,0.0,0,73.92,3.05,19529.71,17.2
2019-09-24,4.6,7,85.54,3.24,17952.54,16.11
2019-09-25,1.6,4,83.04,3.55,19141.38,16.0
2019-09-26,2.6,1,80.21,4.23,18834.92,18.3
2019-09-27,4.7,4,80.79,3.31,18936.25,16.15
2019-09-28,0.0,0,73.17,3.81,20000.0,16.09
2019-09-29,4.0,5,81.17,4.68,19230.17,15.89
2019-09-30,0.0,0,75.5,3.22,19809.67,15.72
2019-10-01,4.4,6,82.71,3.55,19337.88,17.2
2019-10-02,0.8,1,67.75,4.08,19737.25,13.52
2019-10-03,0.0,0,67.79,1.76,20000.0,9.83
2019-10-04,1.0,4,79.38,4.01,18156.33,14.23
2019-10-05,3.8,6,85.42,1.96,17005.75,15.08
2019-10-06,2.2,5,78.04,3.35,18652.17,14.91
2019-10-07,0.2,1,72.71,3.04,20000.0,14.31
2019-10-08,9.4,16,93.75,2.75,12932.88,13.8
2019-10-09,4.0,5,83.58,3.86,18684.88,12.65
2019-10-10,0.4,1,74.5,3.26,19687.29,13.63
2019-10-11,0.2,1,81.25,3.2,19859.92,14.61
2019-10-12,0.0,0,86.12,2.45,18465.21,15.4
2019-10-13,0.2,1,76.96,3.46,18418.12,18.75
2019-10-14,2.0,3,73.71,3.5,18853.33,18.4
2019-10-15,1.0,3,80.54,2.87,19978.04,14.17
2019-10-16,5.0,15,88.96,4.81,17201.67,13.92
2019-10-17,1.4,4,88.42,2.9,19338.12,14.15
2019-10-18,2.6,1,72.62,4.24,19822.08,13.88
2019-10-19,3.4,9,86.79,2.32,17815.08,13.04
2019-10-20,11.4,13,92.46,3.15,12284.29,11.66
2019-10-21,1.4,5,86.71,2.66,16879.21,11.79
2019-10-22,0.0,0,90.17,1.78,15839.71,10.63
2019-10-23,0.2,1,88.92,2.31,12489.12,12.96
2019-10-24,0.2,1,86.12,3.05,19566.08,13.94
2019-10-25,0.2,1,90.71,2.86,18171.46,13.18
2019-10-26,0.2,1,79.67,3.37,19997.46,14.69
2019-10-27,10.1,10,86.04,3.55,16958.17,10.85
2019-10-28,0.0,0,71.75,3.75,20000.0,9.87
2019-10-29,0.6,3,74.25,3.27,19850.62,9.94
2019-10-30,0.2,1,82.96,2.57,12571.78,9.54
2019-10-31,0.2,1,89.21,2.12,7925.0,10.6
2019-11-01,8.9,7,95.38,3.26,9548.0,13.59
2019-11-02,0.4,1,80.83,4.93,19620.71,13.49
2019-11-03,5.2,7,90.42,3.64,15304.33,11.59
2019-11-04,3.8,4,83.17,4.25,17532.08,11.11
2019-11-05,0.2,1,82.58,2.2,18806.54,9.83
2019-11-06,0.6,2,84.75,2.34,18091.29,10.35
2019-11-07,6.7,5,80.42,3.91,18010.83,8.95
2019-11-08,0.0,0,83.21,2.03,19780.58,6.85
2019-11-09,0.6,1,85.29,2.62,15617.5,6.48
2019-11-10,1.8,6,95.17,1.82,10671.38,6.45
2019-11-11,2.2,2,88.46,3.45,16697.58,6.19
2019-11-12,6.2,6,88.33,3.05,19362.5,5.29
2019-11-13,0.6,2,82.12,3.17,20000.0,7.3
2019-11-14,4.8,5,84.71,2.95,17876.96,6.09
2019-11-15,20.8,22,94.88,3.09,8106.79,3.46
2019-11-16,0.0,0,90.12,2.92,18089.71,5.52
2019-11-17,0.0,0,80.5,2.37,19755.0,6.73
2019-11-18,1.6,3,85.58,2.8,18346.04,6.92
2019-11-19,0.0,0,74.25,1.6,19812.0,6.61
2019-11-20,0.0,0,80.46,2.83,18351.54,3.52
2019-11-21,0.4,2,85.04,2.86,14376.79,5.73
2019-11-22,0.6,2,78.29,4.06,19657.75,8.94
2019-11-23,4.8,6,89.5,3.18,15480.33,9.55
2019-11-24,0.0,0,89.92,1.98,13799.12,9.18
2019-11-25,0.2,1,89.33,3.21,15571.67,10.2
2019-11-26,8.3,5,91.42,3.26,16332.75,11.58
2019-11-27,5.2,5,84.71,5.27,18004.08,11.31
2019-11-28,0.0,0,79.75,4.18,19659.46,11.14
2019-11-29,0.8,2,81.38,2.59,19083.04,9.15
2019-11-30,0.0,0,72.92,3.56,19990.88,6.47
2019-12-01,2.8,5,83.79,4.15,16532.5,3.95
2019-12-02,0.0,0,80.25,3.23,18224.33,4.07
2019-12-03,0.2,1,91.79,2.07,7595.67,4.09
2019-12-04,0.0,0,85.58,1.78,9106.79,2.75
2019-12-05,0.0,0,96.88,1.74,2585.29,0.52
2019-12-06,2.2,6,94.71,3.22,8522.83,4.08
2019-12-07,0.4,1,86.33,2.86,19807.38,10.2
2019-12-08,4.6,5,82.92,4.89,16704.0,10.45
2019-12-09,13.9,7,71.92,5.38,18067.08,8.13
2019-12-10,0.0,0,81.12,3.28,18902.25,4.87
2019-12-11,3.2,6,87.75,3.13,17772.79,7.06
2019-12-12,7.7,8,91.42,4.29,16959.21,4.94
2019-12-13,8.4,11,77.42,5.32,17404.71,7.69
2019-12-14,1.4,3,72.75,5.22,18442.79,9.74
2019-12-15,1.4,3,81.42,3.98,19029.17,9.62
2019-12-16,9.1,7,94.12,2.38,14708.25,9.44
2019-12-17,0.2,1,79.79,2.93,19988.75,11.38
2019-12-18,0.0,0,89.0,2.52,18213.17,8.51
2019-12-19,0.4,2,76.62,3.28,19988.5,12.25
2019-12-20,14.1,8,81.46,4.7,16628.46,10.81
2019-12-21,3.2,5,84.79,4.4,19022.54,8.76
2019-12-22,3.6,6,79.08,4.84,17719.88,9.45
2019-12-23,0.0,0,73.75,4.45,19884.33,9.52
2019-12-24,3.6,4,79.88,4.48,16622.21,10.89
2019-12-25,0.0,0,70.46,3.02,19938.29,8.86
2019-12-26,3.2,4,82.67,3.2,17242.92,7.36
2019-12-27,5.4,6,82.38,3.48,19082.17,9.81
2019-12-28,0.0,0,77.42,2.37,19312.96,7.35
2019-12-29,0.0,0,79.75,1.99,13556.71,3.03
2019-12-30,0.0,0,81.46,1.5,10501.25,2.98
2019-12-31,0.0,0,93.0,1.9,5451.0,1.4
